symbol,name
JOCIL,JOCIL LTD
USASEEDS,UPSURGE SEEDS OF AGRI LTD
MHLXMIRU,MAHALAXMI RUBTECH LTD
HPIL,HINDPRAKASH INDUSTRY LTD
RELCHEMQ,RELIANCE CHEMOTEX IND LTD
SALONA,SALONA COTSPIN LTD.
SIKKO,SIKKO INDUSTRIES LTD
LAMBODHARA,LAMBODHARA TEXTILES LTD.
AKI,AKI INDIA LTD
DIGJAMLMTD,DIGJAM LTD
SHRITECH,SHRI TECHTEX LTD
PKTEA,THE P K TEA PROD CO LTD
SURYALAXMI,SURYALAKSHMI COT MIL LTD
KOHINOOR,KOHINOOR FOODS LTD
SOMATEX,SOMA TEXTILES & INDUST LTD
ROML,RAJ OIL MILLS LTD
SELMC,SEL MANUFACTURING CO LTD
AMBEY,AMBEY LABORATORIES LTD
BEARDSELL,BEARDSELL LTD
SHEKHAWATI,SHEKHAWATI INDUSTRIES LTD
GLOBE,GLOBE TEXTILES (I) LTD.
AARVEEDEN,AARVEE DEN. & EXP. LTD
SHUBHSHREE,SHUBHSHREE BIOFUELS ENE L
PARASPETRO,PARAS PETROFILS LTD.
SATIPOLY,SATI POLY PLAST LTD
AGRITECH,AGRI-TECH (INDIA) LTD
ALKALI,ALKALI METALS LTD
DIVYADHAN,DIVYADHAN RECYCLING IND L
AVIANSH,AVI ANSH TEXTILE LTD
NAGREEKEXP,NAGREEKA EXPORTS LTD.
ORIENTLTD,ORIENT PRESS LTD
DAMODARIND,DAMODAR INDUSTRIES LTD
ASTRON,ASTRON PAPER BORD MIL LTD
MITTAL,MITTAL LIFE STYLE LTD
UNILEX,UNILEX COLOURS AND CHEM L
SIMBHALS,SIMBHAOLI SUGARS LTD.
ARABIAN,ARABIAN PETROLEUM LTD
AGROPHOS,AGRO PHOS INDIA LTD
BABAFP,BABA FOOD PROCESSING
VINNY,VINNY OVERSEAS LTD
BULKCORP,BULKCORP INTERNATIONAL L
CLSL,CROP LIFE SCIENCE LTD
MAHICKRA,MAHICKRA CHEMICAL LTD
SHIVAMILLS,SHIVA MILLS LTD
MALUPAPER,MALU PAPER MILLS LTD
BALKRISHNA,BALKRISHNA PAPER MILLS L
SEYAIND,SEYA INDUSTRIES LTD
VISHWAS,VISHWAS AGRI SEEDS LTD
AMBANIORGO,AMBANI ORGOCHEM LTD
RCDL,RAJGOR CASTOR DERIVATI L
UCL,USHANTI COLOUR CHEM LTD
SRPL,SHREE RAM PROTEINS LTD.
PEARLPOLY,PEARL POLYMERS LTD
ROLLT,ROLLATAINERS LTD
SPPPOLY,SPP POLYMER LTD
AKSHAR,AKSHAR SPINTEX LTD
LAXMICOT,LAXMI COTSPIN LTD
NARMADA,NARMADA AGROBASE LTD
SUPERSPIN,SUPER SPINNING MILLS LTD
KTL,KALAHRIDHAAN TRENDZ LTD
KSHITIJPOL,KSHITIJ POLYLINE LTD
FEL,FUTURE ENTERPRISES LTD
VINEETLAB,VINEET LABORATORIES LTD
PARAMOUNT,PARAMOUNT DYE TEC LTD
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD
SGL,STL GLOBAL LTD
TECILCHEM,TECIL CHEMICALS
MOHITIND,MOHIT INDUSTRIES LTD
SANGINITA,SANGINITA CHEMICALS LTD
LRRPL,LEAD REC AND RUB PROD LTD
YCCL,YASONS CHEMEX CARE LTD
SANWARIA,SANWARIA CONSUMER LTD
MORARJEE,MORARJEE TEXTILES LTD
VIVIDHA,VISAGAR POLYTEX LTD
NKIND,NK INDUSTRIES LTD
ANTGRAPHIC,ANTARCTICA LTD
BOHRAIND,BOHRA INDUSTRIES LTD
RITEZONE,RITE ZONE CHEMCON IND LTD
OMKARCHEM,OMKAR SPL CHEM LTD
SHANTI,SHANTI OVERSEAS INDIA LTD
EUROTEXIND,EUROTEX IND & EXPORTS LTD
ALPSINDUS,ALPS INDUSTRIES LTD.
VCL,VAXTEX COTFAB LTD
GANGOTRI,GANGOTRI TEXTILES LTD.
